Num Comments,User Link,DisplayName,Reputation
2923,12952,Barrie England,128569
4581,2303,Robusto,128296
24506,2637,FumbleFingers,119224
4547,36232,Sven Yargs,112244
12789,2085,tchrist,108855
10771,15299,John Lawler,84455
5309,300,RegDwigнt,82962
6426,18696,Andrew Leach,79771
2291,23491,bib,68622
4408,24489,StoneyB,64523
3544,547,Colin Fine,64224
1863,11433,James Waldby - jwpat7,62366
13300,44619,Mari-Lou A,62258
9639,5754,Peter Shor ,62102
920,39,nohat,60084
1405,9001,Hugo,58137
4658,18220,J.R.,55070
3373,3036,Cerberus,54044
1407,2490,Hellion,53046
8983,53966,WS2,51819
9388,4972,Mitch,51409
2821,58761,anongoodnurse,50592
23871,21655,Edwin Ashworth,48974
429,48,JSBձոգչ,48226
2508,15770,Jon Hanna,47964
5591,77227,sumelic,47751
1183,10041,Daniel,47268
1292,449,Kosmonaut,45636
1715,64985,ermanen,45488
1197,252,kiamlaluno,43610
3733,125330,deadrat,41859
952,65205,Elian,38818
1226,61075,Centaurus,38488
3057,16052,choster,37471
596,13149,Gnawme,36688
4348,76472,Araucaria,35299
663,8183,Thursagen,35125
1518,3119,Yoichi Oishi,34857
2034,54363,oerkelens,33743
336,3479,F'x,33503
12549,14666,Kris,32603
2696,8019,TimLymington,32547
964,191178,Laurel,32149
1692,13140,Jay,31424
4162,142322,Lawrence,31167
890,10893,simchona,30647
6826,17956,Jim,30027
1261,6006,MrHen,29906
814,102286,ScotM,29353
10370,47827,Janus Bahs Jacquet,29270
487,305,Brian Hooper,29032
689,1506,Jon Purdy,28028
2503,2022,mplungjan,27527
2045,1547,Marthaª,27290
1040,129681,JEL,26871
1076,159691,user240918,26471
1029,23608,coleopterist,26334
353,173817,alwayslearning,26098
6288,55623,Dan Bron,26039
2405,25824,Kristina Lopez,25683
1487,71980,Erik Kowal,25463
642,11146,Shoe,25435
2583,3559,Matt E. Эллен,25367
3566,14073,MetaEd,25366
157,127,Mehper C. Palavuzlar,24657
655,2705,Jimi Oke,24622
966,4040,Malvolio,24461
1077,77,ShreevatsaR,24419
934,380,Mr. Shiny and New 安宇,24194
1625,121061,ab2,23990
1863,127726,chasly from UK,23429
1583,8360,Kit Z. Fox,23385
599,5822,Callithumpian,22718
1017,6336,mgb,22017
929,18655,JLG,21724
1853,99935,Max Williams,21012
1910,50044,NVZ,20874
726,16264,Canis Lupus,20849
986,272480,KarlG,20820
1461,177853,1006a,20813
833,16191,Mark Beadles,20483
960,277355,lbf,20316
19104,70861,Hot Licks,18983
292,6509,RiMMER,18915
525,228732,RaceYouAnytime,18877
1444,77339,Tushar Raj,18792
372,54466,Chris Sunami,18599
696,131620,k1eran,18535
833,4941,Neil Coffey,18094
208,4526,chaos,17926
800,2587,PLL,17877
768,6683,JeffSahol,17515
470,18399,cornbread ninja 麵包忍者,17489
1176,48571,Chris H,17478
217,2007,Dusty,17249
600,4333,Henry,17132
1120,25030,terdon,17086
